strain,normal_stress_GPa,,,,Lx_angstrom,Ly_angstrom,Lz_angstrom,,,
6.81E-16,-0.111767392,-0.059846765,-0.061330644,0.072400407,62.64308244,62.64308244,63.27906912,-137490.4746,2232.327517,1101.475683
0.000625,0.396442745,-0.004435885,0.011636049,0.555912022,62.68223437,62.65219032,63.26596694,-137504.8824,2247.672543,1109.04723
0.00125,0.815626981,0.024114895,0.028900274,1.115998743,62.72138629,62.66363271,63.23462976,-137505.8382,2250.248597,1110.318307
0.001875,1.102877266,0.027107003,-0.079985908,1.60247179,62.76053822,62.66601086,63.19866001,-137481.388,2227.880873,1099.281618
0.0025,1.430142313,0.087147601,0.090910769,1.896625974,62.79969015,62.64837395,63.20585123,-137488.2821,2237.020383,1103.791238
0.003125,1.765591426,-0.01990754,0.005620329,2.50722087,62.83884207,62.64453419,63.17890402,-137483.6302,2234.956849,1102.773049
0.00375,2.147846833,-0.173417543,-0.075410107,3.215702907,62.877994,62.65213804,63.14873791,-137480.5107,2235.031791,1102.810026
0.004375,2.473508133,0.00551962,-0.052343651,3.531889394,62.91714593,62.65561643,63.12130527,-137486.6555,2244.519979,1107.491691
0.005,2.995608093,0.110284488,0.146849511,4.054855702,62.95629785,62.66119542,63.11263665,-137474.4594,2236.585276,1103.576548
0.005625,3.275505773,0.019977038,0.041652043,4.588763134,62.99544978,62.64799278,63.08606392,-137481.8517,2248.149397,1109.28252
0.00625,3.595210112,-0.155286869,-0.077427979,5.24981525,63.0346017,62.64738263,63.05714314,-137476.7751,2248.236938,1109.325714
0.006875,3.979893765,0.082956883,0.079418883,5.513604436,63.07375363,62.66306388,63.05673767,-137438.6078,2215.48748,1093.166467
0.0075,4.208445303,-0.122277356,-0.103386052,6.111252348,63.11290556,62.64972343,63.01479359,-137447.2329,2230.158877,1100.405632
0.008125,4.465592869,-0.115745601,-0.172658859,6.51960738,63.15205748,62.65073723,62.98621074,-137442.2006,2231.489179,1101.06203
0.00875,4.992047197,0.214891467,0.203369053,6.764080721,63.19120941,62.65675961,62.99540803,-137438.9034,2235.123972,1102.855511
0.009375,5.350962313,0.139179776,0.026086433,7.451830007,63.23036134,62.65052937,62.95258432,-137457.4204,2260.630741,1115.441068
0.01,5.620064964,-0.192316333,-0.132718112,8.178131902,63.26951326,62.64967167,62.92872787,-137421.0143,2232.332326,1101.478056
0.010625,6.094102162,0.172695619,0.123705094,8.408989039,63.30866519,62.66023185,62.92151184,-137422.2384,2241.781451,1106.140446
0.01125,6.415238167,-0.111109026,-0.015927125,9.163086505,63.34781712,62.65047643,62.89636241,-137413.7778,2241.838054,1106.168375
0.011875,6.773496688,0.035658618,0.01514702,9.543278934,63.38696904,62.65481019,62.86798283,-137396.9623,2234.127666,1102.363913
0.0125,7.222204423,0.22954013,0.149459612,9.946229736,63.42612097,62.67013534,62.85607531,-137399.0739,2245.555203,1108.002491
0.013125,7.448441325,-0.075643916,0.035219134,10.56314407,63.4652729,62.63985991,62.8380099,-137385.6711,2242.345339,1106.41868
0.01375,7.76365662,-0.033005786,0.025784679,10.98481057,63.50442482,62.66479272,62.8078105,-137341.8998,2208.958397,1089.944885
0.014375,8.104304108,-0.04587692,-0.087845943,11.55588744,63.54357675,62.6549269,62.78097306,-137359.8333,2237.236316,1103.897784
