strain,normal_stress_GPa,,,,Lx_angstrom,Ly_angstrom,Lz_angstrom,,,
-3.49E-16,0.009215843,0.002125239,-0.017590473,0.034023001,81.470716,81.470716,82.29785108,-79389.06714,3032.304899,748.07652
0.00025,0.035924861,0.02460162,0.015299786,0.025300862,81.49108368,81.47509106,82.3015095,-79385.66683,3029.460592,747.3748231
0.0005,0.037862371,-0.033217477,0.002678336,0.087056135,81.51145136,81.4652923,82.28645727,-79378.362,3022.638991,745.6919186
0.00075,0.065157661,0.007523253,0.002255082,0.085476389,81.53181904,81.46801753,82.2686365,-79384.17014,3029.05069,747.2736992
0.001,0.054721183,0.011194511,-0.001135112,0.071878485,81.55218672,81.46262661,82.26723092,-79379.58906,3025.356369,746.3623017
0.00125,0.041120157,0.029479108,0.002532704,0.048483133,81.5725544,81.44279068,82.27907239,-79369.60131,3016.268742,744.1203636
0.0015,0.055229563,-0.03411448,0.006399976,0.109581512,81.59292208,81.39588622,82.27910194,-79380.0058,3027.838048,746.9745377
0.00175,0.076296824,0.003902389,0.021776273,0.092373809,81.61328976,81.41033883,82.26400877,-79371.55251,3020.397174,745.1388572
0.002,0.087851674,0.007472252,-0.004201384,0.122763556,81.63365743,81.42588652,82.22600581,-79372.14267,3021.932578,745.5176448
0.00225,0.079813822,-0.016118921,-0.053120587,0.168058834,81.65402511,81.40930753,82.18951343,-79375.15996,3025.815477,746.4755647
0.0025,0.156388315,0.01596696,0.020889279,0.195198297,81.67439279,81.41246324,82.22156192,-79385.54406,3036.913234,749.2134068
0.00275,0.172653093,0.076585722,0.056224478,0.152312647,81.69476047,81.39227843,82.2475932,-79399.41029,3051.442879,752.7979032
0.003,0.100952899,-0.072485243,-0.006650472,0.214460933,81.71512815,81.32986829,82.2212575,-79364.8473,3018.007592,744.5493418
0.00325,0.113715047,-0.04713394,-0.021543598,0.211712453,81.73549583,81.33371075,82.20449638,-79364.90703,3018.963507,744.7851683
0.0035,0.176600363,0.005268837,0.019356484,0.232977663,81.75586351,81.38353309,82.21289773,-79361.31428,3015.944427,744.0403544
0.00375,0.223370173,0.038073365,0.010418803,0.28363351,81.77623119,81.42017071,82.1838786,-79356.14562,3011.795924,743.0169091
0.004,0.167026886,-0.003170792,-0.038863339,0.269503232,81.79659887,81.38698531,82.12754222,-79374.5378,3030.849741,747.7175291
0.00425,0.154144908,-0.00400508,-0.01718111,0.233532934,81.81696655,81.3568998,82.13877384,-79367.19704,3024.801934,746.2255214
0.0045,0.177761466,-0.011018426,0.003897745,0.257077679,81.83733422,81.32593358,82.18164602,-79359.16459,3017.717969,744.4778912
0.00475,0.200299809,-0.015258674,0.018096578,0.284211277,81.8577019,81.32785977,82.19634379,-79343.38252,3003.046984,740.8585258
0.005,0.217057574,-0.012509289,-0.001581878,0.317212173,81.87806958,81.32962793,82.15403575,-79353.99303,3014.957084,743.7967746
0.00525,0.203328223,-0.021104338,-0.024290746,0.319672524,81.89843726,81.32239526,82.11454522,-79352.73258,3014.986805,743.8041068
0.0055,0.224067337,0.01107047,-0.026983743,0.331424853,81.91880494,81.32252746,82.11775033,-79353.5413,3016.869132,744.2684812
0.00575,0.247876446,0.003802677,-0.018756026,0.362179202,81.93917262,81.29749906,82.13300337,-79353.79887,3018.099585,744.5720368
0.006,0.236099737,-0.002103006,0.011069041,0.327952533,81.9595403,81.26381208,82.14195334,-79362.07977,3027.531135,746.8988215
0.00625,0.277928344,-0.004324335,0.030177646,0.377143699,81.97990798,81.2590818,82.13975068,-79358.48373,3025.385302,746.3694398
0.0065,0.239147641,-0.043872415,-0.033763604,0.393297709,82.00027566,81.27282969,82.09977169,-79336.99582,3004.665864,741.2579072
0.00675,0.301849282,0.003880229,0.010295312,0.416929764,82.02064334,81.2998755,82.07411648,-79358.26958,3027.070378,746.7851518
0.007,0.274766732,0.011862434,-0.014252597,0.391577371,82.04101101,81.3046042,82.04322255,-79359.06386,3028.914312,747.2400544
0.00725,0.293862838,0.015819661,0.00463402,0.401355747,82.06137869,81.30100741,82.04553739,-79350.39247,3021.58023,745.4307198
0.0075,0.292995387,0.001949985,0.005512146,0.409104789,82.08174637,81.27144036,82.05713899,-79355.3309,3027.623879,746.9217018
0.00775,0.292139158,-0.003539205,-0.015398672,0.426785494,82.10211405,81.24595995,82.06540538,-79343.37516,3016.812913,744.2546119
0.008,0.347592676,-0.031566961,0.008391673,0.510309753,82.12248173,81.24338058,82.07597137,-79331.11629,3006.272916,741.6543705
0.00825,0.353425381,-0.000440985,0.008708228,0.494100221,82.14284941,81.25327505,82.04267935,-79343.06293,3019.302625,744.8688295
0.0085,0.333525695,0.023429076,-0.034347101,0.484590956,82.16321709,81.24985936,82.00260599,-79357.6427,3035.260284,748.8056203
0.00875,0.358093892,-0.006863494,-0.017039269,0.52347142,82.18358477,81.23205754,82.03761277,-79328.71556,3007.837382,742.0403278
0.009,0.39975985,0.006301063,0.024182791,0.544231294,82.20395245,81.20313858,82.07911843,-79329.51168,3010.223119,742.6288947
0.00925,0.324278533,-0.015530465,-0.00130644,0.470826988,82.22432013,81.1628497,82.04965891,-79341.12499,3023.221436,745.8356089
0.0095,0.384119395,-0.052204587,0.001213064,0.582965968,82.2446878,81.17596491,82.02317013,-79333.89001,3018.01479,744.5511177
0.00975,0.425227164,0.069173408,0.015381066,0.545565502,82.26505548,81.23922358,82.0153049,-79330.8647,3016.378466,744.1474328
0.01,0.360283871,0.014482528,0.013822881,0.489504057,82.28542316,81.20681251,81.974158,-79333.72184,3020.843546,745.2489782
0.01025,0.344780598,-0.061886849,-0.066310247,0.578267812,82.30579084,81.16534843,81.9464342,-79333.26925,3022.069652,745.5514614
0.0105,0.448113254,0.01222439,0.045904487,0.594058367,82.32615852,81.21313105,82.0035305,-79317.52749,3007.931715,742.0635999
0.01075,0.462995924,0.048215898,0.004621435,0.619717774,82.3465262,81.19019796,81.97834672,-79339.24253,3031.292941,747.8268676
0.011,0.410026799,-0.074135434,-0.029427469,0.65538685,82.36689388,81.11516844,81.95638163,-79341.74775,3035.783517,748.9347031
0.01125,0.476496164,0.035122464,0.06677006,0.603065331,82.38726156,81.1595384,82.01893504,-79321.15692,3016.927756,744.2829437
0.0115,0.501241777,0.016019069,0.01666488,0.685752333,82.40762924,81.15755512,81.99284634,-79321.0409,3018.665628,744.7116809
0.01175,0.434133355,-0.019549526,-0.037230464,0.654465142,82.42799692,81.13406034,81.94435283,-79322.85401,3022.281009,745.6036037
0.012,0.483399936,-0.008248863,-0.011478402,0.697591242,82.44836459,81.13172494,81.94980768,-79312.92897,3014.339907,743.6445157
