strain,normal_stress_GPa,,,,Lx_angstrom,Ly_angstrom,Lz_angstrom,,,
1.70E-16,-0.134570607,-0.016574323,-0.082468579,0.144844046,83.63038973,79.66458183,78.84748759,-175889.4985,7639.899998,1832.424075
0.0025,0.225748103,0.180795264,0.203699637,0.055059085,83.83946571,79.63649471,78.82820311,-175832.4131,7595.919582,1821.875406
0.005,0.328808664,-0.014783351,-0.116301073,0.571387783,84.04854168,79.51126132,78.70960985,-175838.2753,7617.096691,1826.954719
0.0075,0.482807782,-0.023168934,0.030259807,0.680930788,84.25761766,79.40544757,78.6523182,-175850.2377,7646.733502,1834.063085
0.01,0.668380933,0.082794713,0.109854711,0.809688214,84.46669363,79.33338775,78.58978727,-175832.5432,7648.054946,1834.380033
0.0125,0.807181007,-0.00191424,0.042646344,1.114061945,84.67576961,79.25023154,78.48720547,-175832.9523,7668.457079,1839.273468
0.015,0.992397059,0.036350579,0.027407827,1.358421533,84.88484558,79.19142489,78.39877733,-175769.8916,7626.720522,1829.262987
0.0175,1.043215492,0.010554913,0.114958506,1.392461494,85.09392155,79.13134296,78.3162207,-175699.2324,7578.651012,1817.733553
0.02,1.184730446,0.096982258,0.062467019,1.563285841,85.30299753,79.07549244,78.20139004,-175732.7275,7636.850249,1831.692595
0.0225,1.285877187,-0.003159894,-0.000334978,1.820979493,85.5120735,78.99947549,78.09476287,-175690.8999,7621.127129,1827.921417
0.025,1.440797505,-0.015906541,-0.056275512,2.089220895,85.72114948,78.92932036,78.01988338,-175601.0667,7559.185734,1813.064821
0.0275,1.618342266,0.135821801,0.016747642,2.185669445,85.93022545,78.86966965,77.97479166,-175573.0508,7561.248295,1813.559525
0.03,1.696073806,0.050685252,0.076041542,2.309210032,86.13930143,78.74411641,77.90431006,-175585.6311,7605.224372,1824.107153
0.0325,1.673043924,-0.074267653,-0.062633465,2.462886335,86.3483774,78.6287056,77.83751819,-175521.9521,7574.67346,1816.77954
0.035,1.948998978,0.108133712,0.147714499,2.575844976,86.55745337,78.56907297,77.82586253,-175456.6447,7544.249885,1809.482469
0.0375,2.005312443,-0.000369284,0.024189756,2.819256896,86.76652935,78.46869469,77.75123338,-175408.8351,7533.583531,1806.924153
0.04,2.092490731,0.067872309,-0.018697504,2.926378282,86.97560532,78.38608599,77.68107194,-175383.6447,7546.931344,1810.125615
0.0425,2.177577816,0.078559037,0.108843411,2.947279936,87.1846813,78.30119829,77.63663874,-175332.7603,7535.99212,1807.501851
0.045,2.212995526,-0.0759605,-0.000487991,3.185047106,87.39375727,78.21208163,77.55180784,-175234.7995,7479.415308,1793.931946
0.0475,2.268827053,0.103873887,0.009020336,3.130933696,87.60283325,78.16443206,77.47357408,-175203.6205,7490.054364,1796.483716
0.05,2.317006346,0.072937376,0.095423744,3.157812603,87.81190922,78.09312406,77.40656495,-175155.8933,7484.876095,1795.241712
0.0525,2.248895406,-0.030745522,0.082598116,3.146816406,88.02098519,78.01606905,77.30800979,-175067.809,7439.657311,1784.396022
0.055,2.350356218,0.027625382,0.008349336,3.298552158,88.23006117,77.96646967,77.20267047,-175065.6991,7480.894321,1794.286686
0.0575,2.302024101,0.031835391,0.015606241,3.222068714,88.43913714,77.91924192,77.12651627,-174935.4837,7394.917862,1773.6653
0.06,2.378189962,0.077414469,0.09640184,3.240445251,88.64821312,77.8584899,77.05566521,-174874.4373,7378.557542,1769.74129
0.0625,2.388922785,0.052317853,-0.082999677,3.404178917,88.85728909,77.77119819,76.96107866,-174842.031,7391.727265,1772.900038
0.065,2.391764829,0.037463282,0.016037922,3.34473813,89.06636507,77.68233077,76.92604832,-174763.9442,7359.426566,1765.15274
0.0675,2.351255574,0.033372971,0.074697502,3.249154371,89.27544104,77.58550704,76.88820153,-174658.8232,7300.942788,1751.125451
0.07,2.248261766,0.026271158,0.03999529,3.13270992,89.48451701,77.48888872,76.81450414,-174617.3183,7306.318102,1752.414716
0.0725,2.137012038,0.015610068,0.006483047,3.006589996,89.69359299,77.40714255,76.73550647,-174533.3749,7269.23931,1743.521397
0.075,1.999763805,0.080457582,0.112006651,2.692277622,89.90266896,77.33465938,76.65649472,-174505.4422,7287.550873,1747.913411
0.0775,1.809068306,-0.038719714,0.055947509,2.54886543,90.11174494,77.26956195,76.54346682,-174375.5339,7203.029177,1727.640948
0.08,1.80472798,0.032060213,0.080214969,2.473583436,90.32082091,77.2388739,76.42351718,-174386.0905,7259.287081,1741.134362
0.0825,1.754896901,0.100483927,0.079577074,2.354615873,90.52989689,77.19942922,76.32181321,-174313.4197,7232.0686,1734.606031
0.085,1.665216215,0.037446564,0.108383414,2.253529331,90.73897286,77.13156075,76.22865249,-174236.8777,7201.172882,1727.195717
0.0875,1.551998685,0.011353952,0.04687559,2.154122446,90.94804884,77.06979444,76.12594199,-174173.5525,7183.504852,1722.958054
0.09,1.489547007,0.204189877,0.066402748,1.922620042,91.15712481,77.01405519,76.03811965,-174116.8105,7172.153213,1720.235372
0.0925,1.251835163,-0.020350621,-0.013397411,1.794245937,91.36620078,76.89030281,75.95946677,-174043.4431,7142.63533,1713.155531
0.095,1.107667806,0.035884476,0.073725656,1.489693872,91.57527676,76.80265187,75.91701634,-173959.1138,7101.898237,1703.38477
0.0975,1.099940799,0.105271854,0.052844627,1.44517311,91.78435273,76.72222727,75.85529829,-173907.2634,7093.98648,1701.487142
0.1,0.892451159,0.026338994,0.090188951,1.182307806,91.99342871,76.61348004,75.7810777,-173864.5995,7094.212191,1701.541278
0.1025,0.836214267,-0.099873806,0.022005707,1.246615849,92.20250468,76.53208386,75.69158935,-173777.4386,7049.491714,1690.815107
0.105,0.747323121,0.104349594,0.140196385,0.885043966,92.41158066,76.50642936,75.60076981,-173755.7879,7070.120812,1695.76298
0.1075,0.651004291,0.133651204,0.086062063,0.767514602,92.62065663,76.4400802,75.48060693,-173744.408,7099.968838,1702.922006
0.11,0.519934288,-0.001668912,0.031523512,0.715343778,92.8297326,76.34935891,75.37651486,-173687.6458,7084.208561,1699.141916
0.1125,0.474491861,0.058883779,-0.014499884,0.645932015,93.03880858,76.29181421,75.31009893,-173592.774,7029.910899,1686.118664
0.115,0.456995717,0.083410652,0.030828942,0.569164964,93.24788455,76.20316693,75.25857845,-173543.5934,7021.052798,1683.994055
0.1175,0.357079099,-0.028811792,-0.020701981,0.540088967,93.45696053,76.08655778,75.20331711,-173486.2099,7003.90431,1679.881003
